threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,341,3410,1362,0.3994134897360704,99,141
10,341,3410,1362,0.3994134897360704,99,141
20,336,3360,1340,0.39880952380952384,99,141
30,332,3320,1340,0.4036144578313253,99,141
40,323,3230,1338,0.41424148606811145,99,141
50,317,3170,1338,0.4220820189274448,99,141
60,297,2970,1313,0.4420875420875421,99,141
70,275,2750,1260,0.4581818181818182,99,140
80,253,2530,1198,0.4735177865612648,99,140
90,191,1910,1097,0.5743455497382199,96,136
