threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,271,2710,1224,0.45166051660516604,34,148
10,271,2710,1224,0.45166051660516604,34,148
20,267,2670,1224,0.4584269662921348,34,148
30,256,2560,1196,0.4671875,34,148
40,251,2510,1194,0.4756972111553785,34,148
50,234,2340,1148,0.4905982905982906,34,148
60,212,2120,1048,0.49433962264150944,34,148
70,188,1880,960,0.5106382978723404,34,148
80,170,1700,925,0.5441176470588235,34,148
90,144,1440,867,0.6020833333333333,34,148
