threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,187,1870,856,0.4577540106951872,13,62
10,187,1870,856,0.4577540106951872,13,62
20,183,1830,856,0.46775956284153003,13,62
30,179,1790,849,0.47430167597765366,13,62
40,168,1680,828,0.4928571428571429,13,62
50,151,1510,762,0.5046357615894039,13,62
60,123,1230,655,0.532520325203252,13,61
70,91,910,511,0.5615384615384615,13,50
80,70,700,395,0.5642857142857143,13,42
90,55,550,323,0.5872727272727273,13,42
