threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,109,1090,345,0.3165137614678899,10,21
10,109,1090,345,0.3165137614678899,10,21
20,105,1050,345,0.32857142857142857,10,21
30,99,990,345,0.3484848484848485,10,21
40,86,860,311,0.3616279069767442,10,21
50,75,750,287,0.38266666666666665,10,21
60,42,420,182,0.43333333333333335,10,21
70,31,310,156,0.5032258064516129,10,21
80,23,230,125,0.5434782608695652,10,21
90,21,210,116,0.5523809523809524,10,21
