threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,271,2710,1258,0.46420664206642065,82,100
10,271,2710,1258,0.46420664206642065,82,100
20,271,2710,1258,0.46420664206642065,82,100
30,271,2710,1258,0.46420664206642065,82,100
40,270,2700,1258,0.4659259259259259,82,100
50,261,2610,1238,0.47432950191570883,82,100
60,252,2520,1207,0.478968253968254,82,100
70,190,1900,1051,0.5531578947368421,82,100
80,169,1690,1042,0.6165680473372781,82,100
90,147,1470,993,0.6755102040816326,82,100
