threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count
0,268,2680,1294,0.4828358208955224,171
10,268,2680,1294,0.4828358208955224,171
20,267,2670,1294,0.4846441947565543,170
30,267,2670,1294,0.4846441947565543,170
40,267,2670,1294,0.4846441947565543,170
50,265,2650,1294,0.48830188679245284,168
60,255,2550,1273,0.4992156862745098,162
70,242,2420,1256,0.5190082644628099,152
80,219,2190,1246,0.5689497716894977,138
90,179,1790,1153,0.6441340782122905,110
