threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,363,3630,1493,0.4112947658402204,91,143
10,363,3630,1493,0.4112947658402204,91,143
20,361,3610,1493,0.4135734072022161,91,143
30,356,3560,1493,0.4193820224719101,91,143
40,346,3460,1488,0.4300578034682081,91,143
50,337,3370,1477,0.43827893175074184,91,143
60,324,3240,1472,0.454320987654321,91,143
70,295,2950,1395,0.4728813559322034,91,143
80,248,2480,1318,0.5314516129032258,90,140
90,190,1900,1163,0.6121052631578947,89,139
