threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count
0,343,3430,1404,0.40932944606413996,171
10,343,3430,1404,0.40932944606413996,171
20,338,3380,1403,0.4150887573964497,168
30,334,3340,1403,0.42005988023952096,168
40,328,3280,1401,0.4271341463414634,167
50,310,3100,1375,0.4435483870967742,163
60,289,2890,1321,0.45709342560553634,150
70,268,2680,1268,0.47313432835820896,149
80,204,2040,1146,0.5617647058823529,124
90,170,1700,1079,0.6347058823529412,111
