threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,289,2890,1083,0.37474048442906577,73,97
10,289,2890,1083,0.37474048442906577,73,97
20,273,2730,1071,0.3923076923076923,73,97
30,272,2720,1071,0.39375,73,97
40,265,2650,1059,0.39962264150943394,73,97
50,229,2290,993,0.4336244541484716,73,97
60,196,1960,917,0.46785714285714286,73,97
70,175,1750,838,0.47885714285714287,73,97
80,142,1420,768,0.5408450704225352,73,97
90,121,1210,710,0.5867768595041323,73,97
