threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,329,3290,1202,0.36534954407294834,98,128
10,329,3290,1202,0.36534954407294834,98,128
20,320,3200,1198,0.374375,98,127
30,316,3160,1198,0.37911392405063293,98,127
40,308,3080,1191,0.3866883116883117,98,127
50,293,2930,1167,0.39829351535836177,98,124
60,266,2660,1140,0.42857142857142855,98,124
70,233,2330,1067,0.45793991416309016,98,124
80,186,1860,993,0.5338709677419354,96,121
90,150,1500,915,0.61,93,118
