threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,512,5120,1884,0.36796875,8,67
10,512,5120,1884,0.36796875,8,67
20,449,4490,1808,0.4026726057906459,8,67
30,388,3880,1703,0.43891752577319587,8,67
40,355,3550,1648,0.46422535211267607,8,67
50,315,3150,1515,0.48095238095238096,8,67
60,260,2600,1336,0.5138461538461538,8,67
70,198,1980,1092,0.5515151515151515,8,67
80,117,1170,736,0.629059829059829,8,67
90,86,860,583,0.6779069767441861,8,67
