threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count
0,409,4090,1662,0.40635696821515893,169
10,409,4090,1662,0.40635696821515893,169
20,387,3870,1619,0.41834625322997415,168
30,375,3750,1600,0.4266666666666667,165
40,348,3480,1561,0.4485632183908046,154
50,342,3420,1558,0.45555555555555555,150
60,322,3220,1501,0.46614906832298136,146
70,260,2600,1301,0.5003846153846154,122
80,177,1770,1059,0.5983050847457627,82
90,146,1460,940,0.6438356164383562,64
