threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,98,980,431,0.43979591836734694,37,40
10,98,980,431,0.43979591836734694,37,40
20,96,960,431,0.44895833333333335,37,40
30,90,900,426,0.47333333333333333,37,40
40,89,890,424,0.4764044943820225,37,40
50,88,880,422,0.47954545454545455,37,40
60,79,790,402,0.5088607594936709,37,40
70,73,730,396,0.5424657534246575,37,40
80,64,640,376,0.5875,37,40
90,50,500,334,0.668,37,40
