threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,352,3520,2013,0.571875,20,64
10,352,3520,2013,0.571875,20,64
20,349,3490,2013,0.5767908309455587,20,64
30,344,3440,2013,0.5851744186046511,20,64
40,338,3380,1997,0.590828402366864,20,64
50,328,3280,1996,0.6085365853658536,20,64
60,303,3030,1922,0.6343234323432343,20,64
70,268,2680,1745,0.6511194029850746,20,64
80,216,2160,1500,0.6944444444444444,20,62
90,164,1640,1188,0.724390243902439,20,62
