threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,355,3550,1562,0.44,62,101
10,355,3550,1562,0.44,62,101
20,349,3490,1562,0.44756446991404014,62,101
30,349,3490,1562,0.44756446991404014,62,101
40,347,3470,1562,0.4501440922190202,62,101
50,338,3380,1554,0.4597633136094675,62,101
60,302,3020,1469,0.4864238410596026,61,100
70,273,2730,1396,0.5113553113553113,61,100
80,230,2300,1258,0.5469565217391305,61,100
90,196,1960,1210,0.6173469387755102,61,100
