threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,420,4200,1928,0.45904761904761904,29,105
10,420,4200,1928,0.45904761904761904,29,105
20,419,4190,1928,0.46014319809069215,29,105
30,413,4130,1927,0.4665859564164649,29,105
40,405,4050,1909,0.471358024691358,29,105
50,389,3890,1857,0.47737789203084835,29,105
60,347,3470,1705,0.49135446685878964,29,105
70,263,2630,1406,0.5346007604562738,29,105
80,171,1710,1011,0.5912280701754385,29,103
90,128,1280,816,0.6375,29,103
