threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,186,1860,4,0.002150537634408602,2,2
10,186,1860,4,0.002150537634408602,2,2
20,181,1810,3,0.0016574585635359116,2,2
30,181,1810,3,0.0016574585635359116,2,2
40,181,1810,3,0.0016574585635359116,2,2
50,181,1810,3,0.0016574585635359116,2,2
60,181,1810,3,0.0016574585635359116,2,2
70,181,1810,3,0.0016574585635359116,2,2
80,181,1810,3,0.0016574585635359116,2,2
90,181,1810,3,0.0016574585635359116,2,2
