threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count
0,525,5250,1905,0.3628571428571429,99
10,525,5250,1905,0.3628571428571429,99
20,481,4810,1842,0.382952182952183,88
30,442,4420,1790,0.40497737556561086,75
40,414,4140,1767,0.42681159420289855,73
50,389,3890,1709,0.43933161953727506,71
60,340,3400,1552,0.45647058823529413,68
70,253,2530,1257,0.49683794466403164,57
80,181,1810,991,0.5475138121546961,49
90,135,1350,807,0.5977777777777777,37
