threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count,unique_crash_pc_count
0,329,3290,1535,0.46656534954407297,69,101
10,329,3290,1535,0.46656534954407297,69,101
20,329,3290,1535,0.46656534954407297,69,101
30,316,3160,1507,0.4768987341772152,69,101
40,313,3130,1500,0.4792332268370607,69,101
50,309,3090,1500,0.4854368932038835,69,101
60,292,2920,1473,0.5044520547945206,68,100
70,265,2650,1416,0.5343396226415095,68,100
80,219,2190,1312,0.5990867579908675,68,100
90,182,1820,1229,0.6752747252747253,68,100
