threshold_pct,selected_count,total_injections,total_crashes,overall_crash_rate,unique_disasm_count
0,287,2870,1219,0.42473867595818815,180
10,287,2870,1219,0.42473867595818815,180
20,287,2870,1219,0.42473867595818815,180
30,284,2840,1219,0.42922535211267604,177
40,281,2810,1217,0.43309608540925265,176
50,272,2720,1217,0.4474264705882353,171
60,253,2530,1164,0.4600790513833992,161
70,244,2440,1155,0.4733606557377049,158
80,201,2010,1074,0.5343283582089552,135
90,173,1730,1037,0.599421965317919,120
